Card#,Title,Artist,Year,SpotifyURL
126,Englishman In New York,Sting,1987,https://open.spotify.com/track/4KFM3A5QF2IMcc6nHsu3Wp
127,Where Did Our Love Go,The Supremes,1964,https://open.spotify.com/track/69RH84na5iUNwrwxpgjC5j
128,Son Of A Preacher Man,Dusty Springfield,1968,https://open.spotify.com/track/6ek9SiEj5a65WIs2EV7qiM
129,Apologize,Timbaland,2007,https://open.spotify.com/track/6ucR4KfvsBFWCMVFDvyKKl
130,Walk In The Park,Nick Straker,1979,https://open.spotify.com/track/284PXSCD8lGtytVviIkts3
131,Stay Another Day,East 17,1994,https://open.spotify.com/track/4wYCe9tSmUolNU4WmJKbZy
132,No Milk Today,Herman's Hermits,1966,https://open.spotify.com/track/26rqwzpocGyyW0Zn0Tb704
133,A Night Like This,Caro Emerald,2009,https://open.spotify.com/track/7nuBU1HCcOwG5f1orN4ByW
134,The Letter,The Box Tops,1967,https://open.spotify.com/track/6RJK553YhstRzyKA4mug09
135,Father And Son,Yusuf / Cat Stevens,1970,https://open.spotify.com/track/476V2d6iA2tWXgQboKmTtA
136,Anti-Hero,Taylor Swift,2022,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
137,Waiting for a Star to Fall,Boy Meets Girl,1988,https://open.spotify.com/track/09huOVRryZNV2deKFZLJDC
138,Keep on Loving You,REO Speedwagon,1980,https://open.spotify.com/track/4rcHWl68ai6KvpXlc8vbnE
139,Sunchyme,Dario G,1997,https://open.spotify.com/track/2YOuBWIyHgyvHnLMpjzBf2
140,Foot Of The Mountain,a-ha,2009,https://open.spotify.com/track/3Cm2bgwzocxsB5sD6g8VSL
141,Memories,Maroon 5,2019,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
142,Moviestar,Harpo,1975,https://open.spotify.com/track/4t9EUCjCPbdfqtOH25k8AU
143,Stumblin' In,CYRIL,2023,https://open.spotify.com/track/0h3Xy4V4apMraB5NuM8U7Z
144,Bohemian Rhapsody,Queen,1975,https://open.spotify.com/track/3z8h0TU7ReDPLIbEnYhWZb
145,If You Can't Give Me Love,Suzi Quatro,1978,https://open.spotify.com/track/12VVhwwzhAi0GBzJFarIEP
146,Bitch,Meredith Brooks,1997,https://open.spotify.com/track/3i6qNxyVgIdUZTTi5m25EM
147,Down Under,Men At Work,1981,https://open.spotify.com/track/5pSvjjfsh34sLrkYSNGCl4
148,Don't Be Cruel,Elvis Presley,1956,https://open.spotify.com/track/4zzXm1QJQXWLyUfFhWZBRg
149,Hooked On A Feeling,Blue Swede,1974,https://open.spotify.com/track/6Ac4NVYYl2U73QiTt11ZKd
150,The Boxer,Simon & Garfunkel,1969,https://open.spotify.com/track/76TZCvJ8GitQ2FA1q5dKu0
151,We're Not Gonna Take It,Twisted Sister,1984,https://open.spotify.com/track/5X79VgaOn8pDTpTKu3PixN
152,Don't Pay The Ferryman,Chris de Burgh,1982,https://open.spotify.com/track/0vJlZS5zLMhRQ6xo9vmAlB
153,All Out Of Love,Andru Donalds,1999,https://open.spotify.com/track/0Fr54TvVCUMH9gdA6JMopJ
154,World of Our Own,Westlife,2002,https://open.spotify.com/track/4SAHTVRe6EBhgAOWl49yPf
