Card#,Title,Artist,Year,SpotifyURL
88,Bonanza,"Ray Evans, Jerry Livingston",1959,https://open.spotify.com/track/3STVHSJR6ZPGg9CI0aNP9q
89,Spider-Man (Hero),"Chad Kroeger, Josey Scott",2002,https://open.spotify.com/track/1QvpsbjYAVVFvFrWVC0qnQ
90,Der Pate (The Godfather Waltz),Nino Rota,1972,https://open.spotify.com/track/39zu6JGd6tvRNsqyK78RLk
91,Notting Hill (When You Say Nothing At All),Ronan Keating,1999,https://open.spotify.com/track/2cq26EEiqgUDP1VBKm9r6Z
92,Succession,Nicholas Britell,2018,https://open.spotify.com/track/0bSHwuTOZVJUXWT03H9oD2
93,Du sollst mein Glücksstern sein (Singin' In The Rain),Gene Kelly,1952,https://open.spotify.com/track/5U3MkUWTpzj37A33GboDtv
94,Dexter,Rolfe Kent,2006,https://open.spotify.com/track/0Un4lCD1ldDAAQxDOYpH5X
95,Slumdog Millionär (Jai Ho),A. R. Rahman,2008,https://open.spotify.com/track/7LGSPUrp1l8IEuUqM6NG39
96,Suicide Squad (Heathens),Twenty One Pilots,2016,https://open.spotify.com/track/3vZM2544ETmOCCHuBPZRzm
97,The Office,Jay Ferguson,2005,https://open.spotify.com/track/4APuptCAkmWEQhrZk9u3Z7
98,Matrix (Clubbed to Death),Robert D.,1999,https://open.spotify.com/track/2ffVdgR2RUHIaENDIrlVvG
99,Halloween - Die Nacht des Grauens,John Carpenter,1978,https://open.spotify.com/track/7swocJUCUWTCiRUAU9oerC
100,The Crown,Hans Zimmer,2016,https://open.spotify.com/track/21u2gUlh5Iun4ogGGqKVum
101,Fame - Der Weg zum Ruhm,Irene Cara,1980,https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT
102,Harry Potter und der Stein der Weisen (Prologue),John Williams,2001,https://open.spotify.com/track/7qp8vik6sDWlfyJLfWi9vD
103,Coco - Lebendiger als das Leben! (Un Poco Loco),"Anthony Gonzalez, Gael Garcia Bernal",2017,https://open.spotify.com/track/6LDuxZdcf0UOaL3GDw2SW7
104,Two and a Half Men (Manly Men),"Chuck Lorre, Lee Aronsohn",2003,https://open.spotify.com/track/2w03uQIzTYCPAQLo2LCYno
105,Jurassic Park,John Williams,1993,https://open.spotify.com/track/2TZbQZXOuR8osP2AK8yYMN
106,Mad Max - Jenseits der Donnerkuppel (We Don't Need Another Hero),Tina Turner,1985,https://open.spotify.com/track/1jWhAnzp7HsWgC3HHvNwlR
107,Godzilla (Deeper Underground),Jamiroquai,1998,https://open.spotify.com/track/0y8kwqOr9OfodZeBOGPdPp
108,Das Phantom der Opera,"Andrew Lloyd Webber, Gerard Butler, Emmy Rossum",2004,https://open.spotify.com/track/2nVMbfPq9pxZN7OdYjf105
109,Aladdin (A Whole New World),"Lea Salonga, Brad Kane",2004,https://open.spotify.com/track/1hwdPQtFHISvZ9SXMkNrIK
110,Blondinen bevorzugt (Diamonds Are a Girl's Best Friend),Marilyn Monroe,1953,https://open.spotify.com/track/1pA7B5yYdhsopaWPCOKDac
111,Der weiße Hai,John Williams,1975,https://open.spotify.com/track/7rVYVHo2V9HMOEUbNiR6yM
112,Love Story,Francis Lai,1970,https://open.spotify.com/track/06n8oG19KaU6Vj3DR4TUM5
113,Her (The Moon Song),"Karen O, Ezra Koenig",2013,https://open.spotify.com/track/6E0YEPzjMvUymYOvmDIgp4
